sample_id,target,modality,official_seq_index,signed_importance,absolute_importance,mapping_status,token_id,char_start,char_end,raw_text_substring
01,classification,text,9,0.013017341494560242,0.013017341494560242,verified_text,5583,58,62,belt
01,classification,text,22,0.012944449670612812,0.012944449670612812,verified_text,5918,125,137,requirements
01,classification,text,10,0.011686291545629501,0.011686291545629501,verified_text,2003,63,65,is
01,classification,text,4,0.009811838157474995,0.009811838157474995,verified_text,6177,21,31,components
01,classification,text,16,0.009075459092855453,0.009075459092855453,verified_text,5583,96,100,belt
01,classification,audio,2,-0.0024711093865334988,0.0024711093865334988,index_only,,,,
01,classification,audio,19,0.002249995246529579,0.002249995246529579,index_only,,,,
01,classification,audio,22,0.002181470626965165,0.002181470626965165,index_only,,,,
01,classification,audio,20,0.0020485271234065294,0.0020485271234065294,index_only,,,,
01,classification,audio,21,0.0020485271234065294,0.0020485271234065294,index_only,,,,
01,classification,vision,4,0.0018288188148289919,0.0018288188148289919,index_only,,,,
01,classification,vision,3,0.0013855407014489174,0.0013855407014489174,index_only,,,,
01,classification,vision,1,0.0012774921488016844,0.0012774921488016844,index_only,,,,
01,classification,vision,20,-0.00127601926214993,0.00127601926214993,index_only,,,,
01,classification,vision,21,-0.00127601926214993,0.00127601926214993,index_only,,,,
01,regression,text,12,0.025513771921396255,0.025513771921396255,verified_text,2000,76,78,to
01,regression,text,15,0.01693783327937126,0.01693783327937126,verified_text,2047,92,95,new
01,regression,text,13,0.01581033691763878,0.01581033691763878,verified_text,12725,79,87,ensuring
01,regression,text,17,-0.014134412631392479,0.014134412631392479,verified_text,10438,101,109,performs
01,regression,text,22,-0.01307286974042654,0.01307286974042654,verified_text,5918,125,137,requirements
01,regression,audio,1,0.007598157040774822,0.007598157040774822,index_only,,,,
01,regression,audio,19,-0.006983417086303234,0.006983417086303234,index_only,,,,
01,regression,audio,20,-0.005719741806387901,0.005719741806387901,index_only,,,,
01,regression,audio,21,-0.005719741806387901,0.005719741806387901,index_only,,,,
01,regression,audio,8,0.004762677010148764,0.004762677010148764,index_only,,,,
01,regression,vision,4,-0.003966962918639183,0.003966962918639183,index_only,,,,
01,regression,vision,3,-0.0030697754118591547,0.0030697754118591547,index_only,,,,
01,regression,vision,22,0.002648206427693367,0.002648206427693367,index_only,,,,
01,regression,vision,20,0.0026087379083037376,0.0026087379083037376,index_only,,,,
01,regression,vision,21,0.0026087379083037376,0.0026087379083037376,index_only,,,,
