sample_id,modality,official_seq_index,mapping_status,source_hash,mapping_method,mapping_version,text_char_start,text_char_end,start_sec,end_sec,frame_pts_sec,note
01,audio,11,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,audio,12,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,audio,13,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,audio,14,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,audio,15,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,audio,16,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,audio,17,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,audio,18,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,audio,19,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,audio,20,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,audio,21,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,audio,22,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,vision,1,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,vision,2,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,vision,3,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,vision,4,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,vision,5,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,vision,6,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,vision,7,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,vision,8,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,vision,9,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,vision,10,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,vision,11,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,vision,12,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,vision,13,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,vision,14,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,vision,15,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,vision,16,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,vision,17,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,vision,18,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,vision,19,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,vision,20,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,vision,21,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
01,vision,22,index_only,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
13,text,1,index_only,0c6968f62e844e2b5aea79fe78dbb2831c1841f9404aeb2bb79bb81f4bb83f89,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
13,text,2,index_only,0c6968f62e844e2b5aea79fe78dbb2831c1841f9404aeb2bb79bb81f4bb83f89,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
13,text,3,index_only,0c6968f62e844e2b5aea79fe78dbb2831c1841f9404aeb2bb79bb81f4bb83f89,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
13,text,4,index_only,0c6968f62e844e2b5aea79fe78dbb2831c1841f9404aeb2bb79bb81f4bb83f89,official_sequence_index,q3-v1-preflight,,,,,,official feature row-to-raw evidence relation not verified
