sample_id,text_content_rows,text_strict_rows,text_mean_cosine,text_mean_absolute_error,text_max_absolute_error,audio_official_rows,audio_strict_74D_rows,audio_proxy_CKA_20hz,audio_proxy_CKA_reversed,vision_official_rows,vision_strict_35D_rows,vision_proxy_face_valid_rows,vision_proxy_CKA,vision_proxy_CKA_reversed
01,22,22,0.9999999999987949,6.192308181639281e-07,4.827976226806641e-06,179,0,0.4861814983670254,0.09055231511416564,135,0,0,,
02,19,19,0.99999999999898,6.054347626591232e-07,4.0531158447265625e-06,66,0,0.4660544203258179,0.2897663538458046,50,0,50,0.43297356586666846,0.2843360799631216
03,33,33,0.9999999999988033,6.651098213508088e-07,7.867813110351562e-06,191,0,0.38987919051206876,0.14294299755845438,144,0,144,0.3930759457746542,0.15763239143324975
04,26,26,0.9999999999986474,6.698356950588883e-07,5.245208740234375e-06,137,0,0.2754428622364549,0.10174395595295646,103,0,103,0.5750242585791846,0.19068162332072075
05,15,15,0.9999999999987236,6.905606723093013e-07,5.9604644775390625e-06,120,0,0.5050759896618027,0.192499867524652,90,0,89,0.6565450685934516,0.1987711669006219
06,35,35,0.9999999999989396,6.139482106196478e-07,7.510185241699219e-06,163,0,0.2975630810743674,0.1517595462840061,123,0,123,0.3865360819303634,0.27464726854456867
07,48,48,0.9999999999986532,6.442594898064474e-07,4.5299530029296875e-06,425,0,0.3192250258500406,0.06562620650117607,319,0,319,0.4851902598189612,0.12142346611144227
08,11,11,0.9999999999986598,7.110104020698187e-07,7.867813110351562e-06,98,0,0.4431332803760436,0.29950756266594686,74,0,73,0.5654043129747125,0.19212463814494724
09,18,18,0.9999999999987589,6.794639712434556e-07,7.733702659606934e-06,99,0,0.37438718297087203,0.2214861318540114,75,0,75,0.5449883174930936,0.22533089080738017
10,30,30,0.9999999999988588,6.673034982264249e-07,5.7220458984375e-06,195,0,0.3408537964265183,0.07578104279302492,147,0,147,0.5752498253075562,0.21659949391403888
11,14,14,0.9999999999990801,5.605659225693671e-07,4.76837158203125e-06,114,0,0.3405565852753862,0.12701180789617583,86,0,86,0.5018441225412454,0.3075365583841616
12,42,42,0.9999999999988438,6.404978858116674e-07,1.049041748046875e-05,257,0,0.32706266479476825,0.07446702830250625,193,0,193,0.5303809681454668,0.1267875181637438
13,30,30,0.9999999999987247,6.797366192283031e-07,9.775161743164062e-06,173,0,0.3197208634474878,0.11430233093255293,1,0,0,,
14,35,35,0.9999999999990405,5.880205771106938e-07,4.0531158447265625e-06,204,0,0.38810932840819923,0.17317617158564744,153,0,153,0.607693385768422,0.2228181623136621
15,21,21,0.9999999999988105,5.904111229404132e-07,5.7220458984375e-06,145,0,0.2850640098072684,0.1039481173953691,110,0,110,0.5950635248837285,0.22555914810189082
16,11,11,0.9999999999986108,7.07693095936327e-07,6.67572021484375e-06,60,0,0.6214874461445753,0.2386714899782005,1,0,1,,
17,24,24,0.9999999999989213,6.017294553986277e-07,8.106231689453125e-06,191,0,0.34853087487754464,0.08460897674246096,143,0,143,0.4878447345806936,0.13162381994471917
18,48,48,0.9999999999985967,6.814052076167501e-07,2.5153160095214844e-05,372,0,0.35843027929152044,0.042904674442841476,280,0,238,0.4569944831046092,0.09546619827402907
19,39,39,0.9999999999987629,6.752306419982162e-07,7.867813110351562e-06,272,0,0.31695909115119564,0.0837983154875392,204,0,204,0.5506386944090965,0.11211485075069044
20,43,43,0.9999999999987541,6.283312958580362e-07,3.790855407714844e-05,216,0,0.20190214252771468,0.10040982365051092,162,0,0,,
